Identifier,Remarks,en enu eng enc ena enz eni ens enj enb enl ent enw,default,de,es,ru,ptb pt br,it,tr trk,fr,cs,pl plk
QUITMSG3,,,\cCAre you sure? There are plenty of targets in here...,\cCBist Du sicher? Es gibt hier noch jede Menge Zielscheiben ...,\cC¿Estás seguro? Aún quedan bastantes blancos aquí...,\cCУверены? Тут ещё полно противников...,\cCTem certeza? Há muitos alvos aqui...,\cCSei sicuro? Qui è pieno di bersagli...,\cCEmin misin? Burada bir sürü hedef var...,\cCVraiment ? On a un paquet de cibles ici...,\cCJsi si jistý? Je tu dost terčů pro všechny...,\cCNa pewno? Jest tu mnóstwo celów...
QUITMSG4,,\cCSure you don't want to go kick Hitler's arse?,\cCSure you don't want to go kick Hitler's ass?,"\cCSicher, dass Du Hitler nicht in den Arsch treten willst?",\cC¿Seguro de que no quieres patearle el culo a Hitler?,\cCВы правда не хотите надрать Гитлеру задницу?,\cCTem certeza de que não quer ir lá chutar a bunda do Hitler?,\cCSicuro di non voler prendere Hitler a calci in culo?,\cCHitler'in canına okumaya gitmek istemediğinden emin misin?,\cCTu veux vraiment pas aller botter le cul de Hitler?!,\cCUrčitě nechceš jít nakopat Hitlerovi prdel?,\cCNa pewno nie chcesz skopać tyłka Hitlerowi?
QUITMSG5,"INFO FOR TRANSLATION PERCENTAGE COUNTER: Every (non-empty) cell in „column B“ (identifier) MUST have its counterpart in every language. If you do not have to use it (for example due to your language do not need some prefix), just type in „one space“. -- If the percentage counter at the top under black row is under 100 % (red filling), you either forgot some line(s) or some line(s) was/were added after your translation was complete (this may happen). If it is over 100 % (orange filling), you have some cell(s) with text, that shouldn't be there (this may be caused for example by accidentally copy some text into some random cell). If the translation is complete, cell will display 100 % with green filling.",,"\cCHate mail can be directed to the following address:\n\n\cC1060 W. Addison St.\nChicago, IL, 60613\n\n\cC(...wait, that's Wrigley Field!)","\cCHassbriefe können an folgende Adresse gerichtet werden:\n\n\cC1060 W. Addison St.\nChicago, IL, 60613\n\n\cC(...halt, das ist das Wrigley Feld!)","\cCPuedes enviar correo de odio a la siguiente dirección:\n\n\cC1060 W. Addison St.\nChicago, IL, 60613\n\n\cC(...un momento, ¡Eso es Wrigley Field!)","\cCЖалобы направлять по адресу: \n\n\cC109316, Москва, Волгоградский проспект, д. 43, корп. 3... (стойте, это же Спортлото!)","\cCMensagens de ódio podem ser enviadas para o seguinte endereço:\n\n\cC1060 W. Addison St.\nChicago, IL, 60613\n\n\cC(...espera aí, esse é o Wrigley Field!)","\cCLe lettere piene d'odio possono essere inviate al seguente indirizzo:\n\n\cC1060 W. Addison St.\nChicago, IL, 60613\n\n\cC(...aspetta, ma è Wrigley Field!)","\cCNefret içerikli mektuplar aşağıdaki adrese gönderilebilir:\n\n\cC1060 W. Addison St.\nChicago, IL, 60613\n\n\cC(...bekleyin, bu Wrigley Field!)","\cCLes plaintes peuvent être envoyées à cette adresse:\n\n\cC1060 W. Addison St.\n60613 Chicago, USA\n\n\cC(...euh, c'est un stade de baseball ?)","\cCNenávistné emaily můžete doručit na adresu:\n\n\cCPark 434\n\cCLednice, 691 44\n\n\cC(...no moment, to je Minaret!)","\cCListy z obelgami można kierować na następujący adres:\n\n\cC1060 W. Addison St.\nChicago, IL, 60613\n\n\cC(... czekaj, to Wrigley Field!)"
QUITMSG6,,,"\cCHey, come on, I'll save you an MP40 and some ""targets""...","\cCHey, komm schon, ich heb' Dir auch eine MP40 und ein paar ""Ziele"" auf ...","\cCOye, anímate, te guardaré una MP40 y algunas ""Dianas de tiro""...","\cCНу ладно, я оставлю Вам MP 40 и пару ""мишеней""...","\cCEi, vamos lá, vou te poupar uma MP40 e alguns ""alvos""...","\cCEhi, andiamo, ti metto da parte un bel MP40 e qualche ""bersaglio""...","\cCHey, gel bakalım, sana bir MP40 ve birkaç ""hedef"" ayıracağım...","\cCEcoute, j'ai une MP40 pour toi avec quelques ""cibles""...","\cCHej, no taaak, obstarám ti MP40 a nějaké ty ""terče""...","\cCHej, no przestań, skitram ci MP40 i kilka ""tarcz strzelniczych""..."
QUITMSG7,,,\cCThe war machine can't keep running unless _YOU_ buy war bonds!,"\cCDie Kriegsmaschinerie kann nicht weiterlaufen, solange _DU_ keine Kriegsanleihen kaufst!",\cC¡La máquina de guerra no puede seguir operando a menos que _TÚ_ compres bonos de guerra!,"\cCВоенная машина не заработает, пока _ВЫ_ не купите военные облигации!",\cCA máquina de guerra não pode continuar funcionando a menos que VOCÊ compre títulos de guerra!,\cCLa macchina da guerra non può continuare a funzionare se _TU_ non acquisti obbligazioni di guerra!,"\cCSavaş makinesi, _SEN_ savaş tahvili satın almadıkça çalışmaya devam edemez!",\cCLa guerre n'avance plus sauf si _TU_ achètes des obligations de guerre !,"\cCVálečná mašinérie nemůže pokračovat, dokud TY SÁM nekoupíš válečné dluhopisy!","\cCMaszyna wojenna nie może dalej działać bez _CIEBIE_, więc kup obligacje wojenne!"
QUITMSG8,,,\cCYou know who else pressed <Y>?\n\cCHitler.,"\cCWeißt Du, wer auch <Y> gedrückt hat?\n\cCHitler!",\cC¿Sabes quíen mas pulsó Y?\n\cCHitler.,"\cCА Вы знаете, кто ещё, помимо Вас, нажал на Y?\n\cCГитлер.",\cCSabe quem mais apertou <Y>?\n\cCHitler.,\cCTu lo sai chi altro ha premuto Y?\n\cCHitler.,\cCBaşka kimin <Y> tuşuna bastığını biliyor musun?\n\cCHitler.,\cCTu sais qui d'autre a appuyé sur <Y>?\n\cCHitler.,"\cCVíš, kdo další zmáčknul 'Y'?\n\cCHitler.","\cCWiesz, kto jeszcze nacisnął ""Y""?\n\cCHitler."
QUITMSG9,,,"\cCIf you press <Y>, you'll be siding with Hitler!","\cCFalls du <Y> drückst, stellst Du Dich auf Hitlers Seite!","\cCSi pulsas Y, ¡Te estarás aliando con Hitler!","\cCЕсли Вы нажмёте на Y, Вы пособник Гитлера!","\cCSe você pressionar <Y>, estará do lado de Hitler!","\cCSe premi Y, passerai dalla parte di Hitler!",\cCY tuşuna basarsanız Hitler'in safına geçersiniz!,"\cCSi tu appuies sur <Y>, tu aides Hitler !","\cCJestli zmáčkneš 'Y', budeš na straně Hitlera!","\cCJeśli naciśniesz ""Y"", staniesz po stronie Hitlera!"
QUITMSG10,,,"\cCOh, I have certain ways of making you press <N>...","\cCOh, ich habe gewisse Wege um Dich zum <N>-Drücken zu bringen ...","\cCBueno, tengo maneras de hacerte pulsar N...","\cCХм, я знаю пару способов заставить Вас нажать N…","\cCAh, eu tenho certos métodos para fazer você pressionar <N>...","\cCOh, conosco modi per farti premere N...","\cCAh, seni <N> tuşuna basmaya zorlamanın bazı yollarım var...",\cCNous avons les moyens de te faire appuyer sur <N>.,"\cCOh, mám jisté způsoby, jak tě donutit zmáčknout 'N'...","\cCOch, mam sposoby żeby zmusić cię do naciśnięcia N..."
QUITMSG11,,,"\cCOkay, whatever, but that <Y> key might release mustard gas...","\cCOkay, wie auch immer, aber diese <Y>-Taste könnte Senfgas freilassen ...","\cCVale. como quieras, pero la tecla Y podria soltar gas mostaza...","\cCКак знаете, но вообще-то клавиша Y может и выпустить иприт...","\cCTá bom, tanto faz, mas essa tecla <Y> pode liberar gás mostarda...","\cCOh, fai come ti pare, ma quel tasto Y potrebbe rilasciare gas Sarin...","\cCTamam, neyse, ama şu <Y> tuşu hardal gazı salabilir...","\cCOk, fais ce que tu veux, mais ta touche ""Y"" va peut-être libérer du gaz moutarde...","\cCDobře, jak chceš, ale klávesa 'Y' může vypustit hořčičný plyn...","\cCDobra, jak chcesz, ale naciśnięcie Y może uwolnić gaz musztardowy..."
QUITMSG12,,,\cCHow can you be sure your <Y> key won't detonate on you?,"\cCWie willst Du sicher sein, dass die <Y>-Taste Dich nicht in die Luft sprengen wird?",\cC¿Como puedes estar seguro de que la tecla Y no va a explotarte?,"\cCУверены, что нажатие на клавишу Y не активирует взрыватель?",\cCComo você pode ter certeza de que sua tecla <Y> não vai detonar?,\cCCome fai ad essere sicuro che il tasto Y non ti farà esplodere?,\cCY tuşunuzun patlamayacağından nasıl emin olabilirsiniz?,\cCComment peux-tu savoir si ta touche <Y> ne va pas t'exploser au visage ?!,"\cCJak si můžeš být tak jistý, že tvá klávesa 'Y' nedetonuje?","\cCSkąd możesz mieć pewność, że Y nie wysadzi cię w powietrze?"
QUITMSG13,,,"\cCGo to Zandronum forums, tell 'em Torm sent you!\n\n(and that Blade of Agony won't run! =P)","\cCBesuch die Zandronum-Foren, erzähl ihnen, Torm hat Dich geschickt!\n\n(und dass Blade of Agony nicht läuft! =P)",\cC¡Ve a los foros de Zandronum y diles que Torm te envió!\n\n(Y que Blade of Agony no funciona =P),"\cCСтупайте на форум Zandronum и скажите, что Вы от Торментора!\n\n(и что Blade of Agony не работает! =P)","\cCVá aos fóruns do Zandronum, diga que o Torm te mandou!\n\n(e que a Lâmina da Agonia não vai funcionar! =P)",\cCVai sul forum di Zandronum e dì che ti ha mandato Torm!\n\n(e che Blade of Agony non partirà! =P),"\cCZandronum forumlarına gidin, onlara Torm'un sizi gönderdiğini söyleyin!\n\n(ve Acı Kılıcı'nın çalışmayacağını da söyleyin! =P)",\cCVa sur les forums Zandronum et dis leur que Tormentor t'envoie !\n\n(et que Blade of Agony marche pas! =P),"\cCBěž na fórum Zandronum a řekni jim, že tě poslal Torm!\n\n(A že Blade of Agony nejde spustit! =P)","\cCWejdź na fora Zandronum i powiedz im, że przysłał cię Torm!\n\n(i że Blade of Agony nie działa!=P)"
QUITMSG14,,,\cCThe Axis will be thrilled to hear that you pressed <Y>.,"\cCDie Achsenmächte werden außer sich vor Freude sein, wenn sie hören, dass Du <Y> gedrückt hast.",\cC El Eje estará encantado de escuchar que pulsaste Y.,"\cCСтраны Оси будут счастливы, если Вы нажмёте Y.",\cCO Axis ficará encantado em saber que você pressionou <Y>.,\cCL'Asse sarà entusiasta di apprendere che hai premuto Y.,"Axis, Y tuşuna bastığınızı duyduğuna çok sevinecek.",\cCLes forces de l'Axe aiment ça quand tu appuies sur <Y>.,"\cCOsa bude nadšená, že jsi zmáčknul 'Y'.","\cCOś będzie zachwycona, kiedy się dowie, że nacisnąłeś Y."
TXT_YES,,,Yes,Ja,Sí,Да,Sim,Sì,Evet,Oui,Ano [Y],Tak [Y]
TXT_NO,,,No,Nein,No,Нет,Não,No,HAYIR,Non,Ne [N],Nie [N]
SECRETMESSAGE,,,\cCYou have found a \cFsecret\cC!,\cCDu hast ein \cFGeheimnis\cC entdeckt!,\cC¡Has encontrado un \cFsecreto\cC!,\cCВы нашли \cFтайник\cC!,Você encontrou um segredo!,\cCHai trovato un \cFsegreto\cC!,\cCBir \cFsır\cC buldunuz!,\cFSecret\cC découvert!,\cCNašel jsi \cFskrýš\cC!,\cCZnalazłeś \cFsekret\cC!
QLPROMPT,,,\cCDo you want to quickload the data named '\cF%s\cC'?\n\nPress <Y> or <N>.,\cCMöchtest du den Datenstand \cF%s\cC schnellladen?\n\nDrücke Y oder N.,\cC¿Desea cargar rápidamente los datos llamados '\cF%s\cC'? Presione Y o N.,\cCЖелаете ли Вы загрузить быстрое сохранение '\cF%s\cC'?\n\nНажмите Y или N.,\cCDeseja carregar rapidamente os dados denominados '\cF%s\cC'?\n\nPressione <S> ou <N>.,\cCVuoi fare un quickload del salvataggio chiamato'\cF%s\cC'\n\nPremi Y o N.,\cC'\cF%s\cC' adlı veriyi hızlı yüklemek istiyor musunuz?\n\n<Y> veya <N> tuşuna basın.,\cCCharger les données de '\cF%s\cC'?\n\nAppuyez sur <Y> ou <N>.,"\cCChceš rychle načíst uloženou hru s názvem ""\cF%s\cC""?\n\nZmáčkni 'Y' [ano], nebo 'N' [ne].",\cCCzy chcesz szybko załadować dane o nazwie '\cF%s\cC'?\n\nNaciśnij Y lub N.
QSPROMPT,,,\cCQuicksave over your data named '\cF%s\cC'?\n\nPress <Y> or <N>.,\cCÜberschreibe \cF%s\cC mit einem Schnellspeicherdatenstand?\n\nDrücke Y oder N.,\cC¿Desea guardar rápidamente los datos llamados '\cF%s\cC'? Presione Y o N.,\cCПерезаписать быстрое сохранение '\cF%s\cC'?\n\nНажмите Y или N.,\cCSalvar rapidamente seus dados chamados '\cF%s\cC'?\n\nPressione <S> ou <N>.,\cCVuoi fare un quicksave del salvataggio chiamato'\cF%s\cC'\n\nPremi Y o N.,\cC'\cF%s\cC' adlı verilerinizin üzerine hızlı kaydetme işlemi mi yapmak istiyorsunuz?\n\n<Y> veya <N> tuşuna basın.,\cCSauvegarder les données dans '\cF%s\cC'?\n\nAppuyez sur <Y> ou <N>.,"\cCChceš rychle uložit hru jako ""\cF%s\cC""?\n\nZmáčkni 'Y' [ano], nebo 'N' [ne].",\cCSzybkie zapisywanie danych o nazwie '\cF%s\cC'?\n\nNaciśnij Y lub N.
,,,,,,,,,,,,
,Mainmenu Items,,,,,,,,,,,
,AM_# entries are used for debris & particles amount on screen,,,,,,,,,,,
BOA_VERSION,,,Blade of Agony v3.2,Blade of Agony v3.2,Blade of Agony v3.2,Blade of Agony 3.2,Lâmina da Agonia v3.2,Blade of Agony v3.2,Acının Kılıcı v3.2,Blade of Agony v3.2,Blade of Agony v3.2,Blade of Agony v3.2
ADVANCED,,,Advanced Settings,Erweiterte Einstellungen,Opciones Avanzadas,Расширенные настройки,Configurações avançadas,Impostazioni Avanzate,Gelişmiş Ayarlar,Paramètres Avancés,Pokročilé nastavení,Ustawienia zaawansowane
AM_NONE,,,None,Keine,Ninguna,Нет,Nenhum,Nessuna,Hiçbiri,Aucun,Žádné,Wcale
AM_COUP,,,Couple,Ein paar,Par,Несколько,Casal,Un pò,Çift,Pas trop,Pár,Kilka
AM_SOME,,,Some,Mehrere,Algunos,Немного,Alguns,Alcune,Bazı,Un peu,Několik,Trochę
AM_MORE,,,More,Einige,Más,Больше,Mais,Diverse,Daha,Beaucoup,Více,Więcej
AM_LOTS,,,Lots,Viele,Muchos,Много,Muitos,Tante,Bir sürü,Énormément,Hodně,Dużo
AM_DEFA,,,Default,Standard,Por Defecto,По умолчанию,Padrão,Default,Varsayılan,Défaut,Výchozí,Domyślnie
AM_MAXI,,,Maximum,Maximal,Máximo,Максимум,Máximo,Massimo,Maksimum,Maximum,Maximum,Maksimum
BL_AM,,,Blood Amount,Blutmenge,Cantidad de sangre,Количество крови,Quantidade de sangue,Quantità di Sangue,Kan Miktarı,Quantité de Sang,Množství krve,Ilość krwi
BL_DEC,,,Decal Limit,Dekorlimit,Limite de Decoración,Максимум декалей,Limite de decalques,Limite Decalcomanie,Çıkartma Sınırı,Limite d'effets decal,Limit decalů,Limit śladów
BL_GIBS,,,Spawn Giblets,Eingeweide erzeugen,Crear Vísceras,Показывать выбитые внутренности,Miúdos de Desova,Generazione Resti,Yumurta Sakatatları,Activer les tripes,Vytvářet pozůstatky vnitřností,Pokazuj flaki
BL_HIGH,,,Excessive,Übertrieben,Excesivo,Изобильное,Excessivo,Eccessivo,Aşırı,Excessif,Přehnaný,Że hej
BL_LIF,,,Blood Lifetime (in seconds),Blut-Anzeigedauer (in Sekunden),Duración de la sangre (Segundos),Время жизни крови (с),Tempo de vida do sangue (em segundos),Durata del Sangue (in secondi),Kanın Yaşam Süresi (saniye cinsinden),Durée d'affichage du sang (en secondes),Doba trvání krve (v sekundách),Zanikanie krwi (w sekundach)
BL_LIM,,,Blood Limit,Blut-Höchstgrenze,Limite de Sangre,Ограничение количества крови,Limite de Sangue,Limite Sangue,Kan Sınırı,Limite de Sang,Množství krve,Limit krwi
BL_LOW,,,Mild,Gering,Medio,Небольшое,Leve,Poco,Hafif,Moyen,Mírný,Łagodny
BL_MED,,,Normal,Normal,Normal,Обычное,Normal,Normale,Normal,Normal,Normální,Normalny
BL_OP,,,Blood Opacity,Blut-Deckkraft,Opacidad de la Sangre,Непрозрачность крови,Opacidade sanguínea,Opacità del Sangue,Kan Opaklığı,Opacité du sang,Neprůhlednost krve,Przezroczystość krwi
BL_POOLS,,,Spawn Blood Pools,Blutlachen erzeugen,Crear Charcos de Sangre,Показывать лужи крови,Gerar Poças de Sangue,Crea Pozze di Sangue,Yaratık Kan Havuzları,Activer les bains de sang,Vytvářet kaluže krve,Pokazuj kałuże krwi
BL_SC,,,Blood Scale,Blut-Umfang,Tamaño de la Sangre,Размер крови,Escala de sangue,Quantità del Sangue,Kan Ölçeği,Echelle du sang,Míra krve,Skala krwi
BL_VEL,,,Blood Velocity,Blut-Dynamik,Velocidad de la Sangre,Скорость крови,Velocidade do sangue,Velocità del Sangue,Kan Hızı,Vélocité des projections de sang,Rychlost krve,Prędkość krwi
BOA_OPTIONS,,,Enh. Options,Erw. Optionen,Opc. Avanzadas,Доп. настройки,Opções aprimoradas,Opzioni avan.,Geliştirme Seçenekleri,Opt. Avancées,Vylepšené nastavení,Rozszerzone opcje
CH_OPT1,,,Unlimited Sprint,Unbegrenzte Ausdauer,Correr sin limite,Неограниченный бег,Sprint ilimitado,Corsa Continua,Sınırsız Sprint,Sprint Illimité,Neomezený běh,Nieograniczony sprint
CH_OPT2,,,Flinch Amount,Zuckstärke,Cantidad de Retroceso,Степень вздрагивания,Quantidade de sobressalto,Barcollamento,İrkilme Miktarı,Force de recul des tirs,Množství třasu,Siła odrzutu broni
CO_GREN,,,Throw Grenade,Granate werfen,Lanzar Granada,Бросок гранаты,Lançar granada,Lancia Granata,El bombası atın,Lancer une grenade,Hodit granát,Rzuć granat
CO_KICK,,,Quick Kick,Fußtritt,Patada Rapida,Пинок,Chute rápido,Calcio Rapido,Hızlı Vuruş,Coup rapide,Rychlý kop,Kopniak
CO_MESS1,,,"ENTER to change, BACKSPACE to clear","ENTER um zu ändern, BACKSPACE um zu löschen","ENTER para cambiar, RETROCESO para cancelar","ENTER — изменить, BACKSPACE — очистить",Pressione ENTER para alterar e BACKSPACE para limpar.,"INVIO per cambiare, BACKSPACE per annullare","Değişiklik yapmak için ENTER, silmek için BACKSPACE","ENTREE pour changer, RET ARR pour effacer","ENTER pro změnu hodnoty, BACKSPACE pro výmaz","Naciśnij ENTER aby zmienić, BACKSPACE aby wyczyścić"
CO_MESS2,,,"Press new key for control, ESC to cancel","Neue Taste für den Befehl drücken, ESC um abzubrechen","Presiona una tecla para asignar, ESC para cancelar",Нажмите новую клавишу для управления или ESC для отмены,"Pressione a nova tecla para controlar, ESC para cancelar.","Premi un nuovo tasto per assegnare, ESC per cancellare","Kontrol için yeni tuşa basın, iptal etmek için ESC tuşuna basın.","Assignez une nouvelle touche, ECHAP pour annuler","Zmáčkni novou klávesu pro přiřazení, ESC zruší příkaz","Naciśnij nowy przycisk sterowania, ESC, aby anulować"
CO_OBJS,,,Toggle Objectives,Missionsziele anzeigen,Cambiar Objetivos,Показ целей задания,Alternar objetivos,Attiva/Disattiva Obiettivi,Hedefleri Aç/Kapat,Activer les objectifs,Zobrazit úkoly mise,Przełącz cele misji
CO_MSGL,,,Message Log,Mitteilungsprotokoll,Registro de Mensajes,Журнал сообщений,Registro de mensagens,Log Messaggio,Mesaj Günlüğü,Historique des messages,Záznamník,Dziennik Wiadomości
DECREASE,,,Decrease following values to improve in-game performance,"Nachfolgende Werte können verringert werden, um die Spielperformance zu verbessern",Reduce los siguientes valores para mejorar el redimiento del juego,"Уменьшите следующие значения, чтобы увеличить производительность",Diminua os seguintes valores para melhorar o desempenho no jogo.,Riduci i seguenti valori per migliorare le prestazioni di gioco,Oyun içi performansı iyileştirmek için aşağıdaki değerleri azaltın.,Diminuez les valeurs suivantes pour améliorer les performances en jeu.,Sniž následující hodnoty pro zlepšení běhu hry,"Zmniejsz następujące wartości, aby poprawić wydajność gry"
DISTANCE,,,Distance is applied in map units,Entfernung angegeben in Map-Einheiten,La distancia se aplica en unidades del mapa. ,Дистанция измеряется в игровых юнитах,A distância é medida em unidades de mapa.,La distanza si applica in unità mappa,"Mesafe, harita birimleri cinsinden uygulanır.",La distance s'applique en unités de carte.,Vzdálenost je aplikována v jednotkách mapy,Odległość jest podawana w jednostkach mapy
ENHOPT,,,Enhanced Options,Erweiterte Optionen,Más Opciones,Дополнительные настройки,Opções aprimoradas,Opzioni Avanzate,Gelişmiş Seçenekler,Options Avancées,Vylepšené nastavení,Opcje rozszerzone
RE_DEBRIS,,,Debris Lifetime (in seconds),Trümmer-Anzeigedauer (in Sekunden),Duración de los escombros (En segundos),Время жизни декоративных фрагментов (с),Tempo de vida dos detritos (em segundos),Durata dei Detriti (in secondi),Parçacıkların Ömrü (saniye cinsinden),Durée d'affichage des débris (en secondes),Doba trvání pozůstatků (v sekundách),Zanikanie śmieci (w sekundach)
GA_RECOIL,,,Weapon Recoil Multiplier,Waffen-Rückstoßfaktor,Multiplicador de Retroceso del Arma,Коэффициент отдачи оружия,Multiplicador de Recuo da Arma,Moltiplicatore rinculo delle Armi,Silah Geri Tepme Çarpanı,Multiplicateur de force de recul de l'arme,Násobitel zpětného rázu zbraně,Mnożnik odrzutu broni
GA_REL,,,Auto-Reload,Auto-Nachladen,Recarga automática,Автоматическая перезарядка,Recarregamento automático,Auto-Ricarica,Otomatik Yeniden Yükleme,Rechargement Automatique,Automatické nabíjení zbraně,Automatyczne przeładowanie
GA_SCAM,,,Strafe Camera Tilt,Seitwärtsschritt-Kameraneigung,Inclinación de Cámara en Desplazamiento Lateral,Наклон камеры при стрейфе,Inclinação da câmera lateral,Movimento della Visuale,Kamerayı yana yatırarak eğme,Inclinaison de la caméra en pas de côtés,Náklon kamery při úkroku do strany,Przechył obrazu przy chodzeniu bokiem
GA_SHELLS,,,Shell Casing Lifetime (in seconds),Patronenhülsen-Anzeigedauer (in Sekunden),Tiempo de Vida de Casquillos (En Segundos),Время жизни гильз (с),Tempo de vida útil do estojo do projétil (em segundos),Durata dei Bossoli (in secondi),Mermi Kovanının Ömrü (saniye cinsinden),Durée d'affichage des douilles (en secondes),Doba zobrazení nábojnice (v sekundách),Zanikanie łusek (w sekundach)
GA_ZBULL,,,Bullet Chip decals amount,Kugelsplitter-Dekoranzahl,Limite de marcas de disparos,Количество декалей от пуль и снарядов,Quantidade de decalques Bullet Chip,Quantità Decalcomanie dei Bossoli,Bullet Chip çıkartmalarının miktarı,Quantité de decals pour fragments de balles,Množství decalů nábojnic,Liczba dziur po pociskach
MB_ADV,,,Advanced,Fortgeschritten,Avanzado,Дополнительно,Avançado,Avanzato,Gelişmiş,Avancé,Pokročilé,Zaawansowane
MB_OPT1,,,Normal,Normal,Normal,Нормальный,Normal,Normale,Normal,Normal,Normální,Normalnie
MB_OPT2,,,Lighten,Leichter,Mas Ligero,С осветлением,Aliviar,Leggero,Hafifletmek,Eclairé,Zesvětlení,Rozjaśnij
MB_OPT3,,,Auto Stop,Autostop,Auto-Detener,Автоматическая остановка,Parada automática,Automatico,Otomatik Durdurma,Arrêt automatique,Auto-stop,Automatyczne zatrzymanie
MB_OPT4,,,Stop Recovery,Stopp-Erholung,Detener Recuperación,Время стабилизации,Interrompa a recuperação,Soglia di Recupero,Kurtarmayı Durdur,Reprise d'arrêt,Zastavení zotavování,Odświeżenie od zatrzymania
MB_OPT5,,,Stop Threshold,Stop Schwellenwert,Detener Límite,Уровень стабилизации,Limiar de parada,Soglia di Arresto,Durdurma Eşiği,Seuil d'arrêt,Limit pro zastavení,Próg zatrzymania
